date,^STI,^HSI,000300.SS,000001.SS,399006.SZ,^N225,^AXJO,^AORD
3/7/20 0:00,2652.94,25373.12,4419.6,3152.81,2462.56,22306.48,6057.9,6163.7
6/7/20 0:00,2689.61,26339.16,4670.09,3332.88,2529.49,22714.44,6014.6,6125.9
7/7/20 0:00,2661.42,25975.66,4698.13,3345.34,2591.26,22614.69,6012.9,6126.7
8/7/20 0:00,2669.49,26129.18,4774.0,3403.44,2651.97,22438.65,5920.3,6034.3
9/7/20 0:00,2652.65,26210.16,4840.77,3450.59,2757.65,22529.29,5955.5,6074.9
10/7/20 0:00,,25727.41,4753.13,3383.32,2778.46,22290.81,5919.2,6036.3
13/7/20 0:00,2631.08,25772.12,4852.96,3443.29,2889.43,22784.74,5977.5,6089.3
14/7/20 0:00,2620.19,25477.89,4806.69,3414.62,2858.67,22587.01,5941.1,6045.5
15/7/20 0:00,2648.9,25481.58,4744.47,3361.3,2813.06,22945.5,6052.9,6160.4
16/7/20 0:00,2623.67,24970.69,4516.25,3210.1,2646.26,22770.36,6010.9,6123.0
17/7/20 0:00,2618.48,25089.17,4544.7,3214.13,2662.4,22696.42,6033.6,6144.9
2020-07-20 00:00:00,2616.3,25057.99,4680.3,3314.15,2697.3,22717.48,6001.6,6112.3
2020-07-21 00:00:00,2629.45,25635.66,4691.04,3320.89,2736.51,22884.22,6156.3,6268.8
